specification,trust_x_risk,se,ci_low,ci_high,p,conclusion
A_no_controls_HC3,0.08210898083911593,0.030876003085064153,0.02159312680584259,0.14262483487238925,0.007829999903158618,"positive, CI excludes zero"
B_demographic_controls_HC3,0.08108290810580449,0.030758182240083715,0.020797978685320878,0.1413678375262881,0.008385485657101918,"positive, CI excludes zero"
C_z_standardized_trust_risk_HC3,0.05881499848144527,0.022311020707125234,0.015086201437152447,0.1025437955257381,0.008385485657101762,"positive, CI excludes zero"
D_policy_factor_score_HC3,0.1055446698451214,0.04018323520396386,0.026786976063050222,0.18430236362719257,0.008624653076165624,"positive, CI excludes zero"
