scoring,adjustment,term,coef,se,ci_low,ci_high,p,sig
raw_mean_composite,without_institutional_trust,manage_trust,0.7144857284785885,0.028426536904524492,0.6587707399405218,0.7702007170166552,2.0898975051687954e-139,***
raw_mean_composite,without_institutional_trust,risk,-0.06320719150425605,0.022844346286115563,-0.10798128747540389,-0.018433095533108207,0.0056598420508880715,**
raw_mean_composite,without_institutional_trust,safe_management,0.1929679782739299,0.0353850987344433,0.12361445916502717,0.2623214973828326,4.94245342920056e-08,***
raw_mean_composite,with_institutional_trust,manage_trust,0.6749217149563321,0.030258899392105416,0.6156153619359845,0.7342280679766797,3.311787018530279e-110,***
raw_mean_composite,with_institutional_trust,risk,-0.0377574271549806,0.022517262348771785,-0.08189045038901309,0.006375596079051887,0.093577413643414,+
raw_mean_composite,with_institutional_trust,safe_management,0.08028184993907042,0.037922970914142956,0.005954192760590213,0.15460950711755062,0.0342622637073938,*
raw_mean_composite,with_institutional_trust,trust,0.14403481404649535,0.02849408435268685,0.08818743494278282,0.1998821931502079,4.306110290928819e-07,***
z_mean_composite,without_institutional_trust,manage_trust,0.9317499089879463,0.03707061193515073,0.8590928447101902,1.0044069732657024,2.089897505170341e-139,***
z_mean_composite,without_institutional_trust,risk,-0.08242753155739184,0.029790962540709724,-0.14081674520196477,-0.024038317912818914,0.0056598420508875685,**
z_mean_composite,without_institutional_trust,safe_management,0.2516465886270119,0.046145165972108194,0.16120372526105659,0.3420894519929672,4.9424534292007486e-08,***
z_mean_composite,with_institutional_trust,manage_trust,0.8801550841661034,0.03946016782547194,0.8028145764042722,0.9574955919279347,3.311787018530468e-110,***
z_mean_composite,with_institutional_trust,risk,-0.049238883175714065,0.02936441738143771,-0.10679208367033394,0.008314317318905813,0.09357741364341453,+
z_mean_composite,with_institutional_trust,safe_management,0.10469433243039875,0.04945476625970729,0.0077647716975258185,0.20162389316327167,0.034262263707393714,*
z_mean_composite,with_institutional_trust,trust,0.18783359769087346,0.03715869952902285,0.1150038849016432,0.2606633104801037,4.3061102909289457e-07,***
factor_score,without_institutional_trust,manage_trust,0.9337329860232726,0.037078241852684886,0.8610609673819445,1.0064050046646007,6.186298025359882e-140,***
factor_score,without_institutional_trust,risk,-0.08186500633311404,0.029800961391972657,-0.14027381736604908,-0.023456195300179,0.006013227223330102,**
factor_score,without_institutional_trust,safe_management,0.2513591602668393,0.046050611297952834,0.16110162065679845,0.34161669987688015,4.806497787531945e-08,***
factor_score,with_institutional_trust,manage_trust,0.8820484956592707,0.0394509470655978,0.8047260602547028,0.9593709310638385,1.0069390397641423e-110,***
factor_score,with_institutional_trust,risk,-0.04861868010950287,0.029372783929976165,-0.10618827873793302,0.008950918518927285,0.09787808005410709,+
factor_score,with_institutional_trust,safe_management,0.10415151888830493,0.04932551906820373,0.007475277995881921,0.20082775978072792,0.03472816487832795,*
factor_score,with_institutional_trust,trust,0.18816002968149922,0.03712116323839503,0.11540388667001272,0.2609161726929857,4.0031589275434203e-07,***
