term,coef,se,ci_low,ci_high,p,sig
manage_c,0.7110552408191169,0.02876080929122703,0.6546850904420869,0.7674253911961468,6.043354257571832e-135,***
risk_c,-0.06503583071575178,0.02285538390600686,-0.10983156002436162,-0.02024010140714195,0.00443366682029527,**
manage_c:risk_c,0.08108290810580449,0.030758182240083715,0.020797978685320878,0.1413678375262881,0.008385485657101918,**
safe_management,0.19260851016501324,0.03549435332319575,0.12304085599700999,0.2621761643330165,5.7484317468713926e-08,***
