specification,term,coef,se,ci_low,ci_high,p,sig
management_trust_as_outcome,consent,0.6323722134683785,0.025696679571359488,0.5820076469862477,0.6827367799505092,1.0093533795427457e-133,***
management_trust_as_outcome,risk,0.06398469710893462,0.02201951549286753,0.020827239785892522,0.10714215443197672,0.003662948275603752,**
management_trust_as_outcome,safe_management,0.08411912248861479,0.033672519499273246,0.018122197001316537,0.15011604797591305,0.012484212218234685,*
management_trust_as_outcome,sq1,-0.006401441473049515,0.0032026282140322246,-0.012678477428424512,-0.00012440551767451975,0.045629044756949476,*
management_trust_as_outcome,sq3_1,0.0013754769293973833,0.0014299049856555232,-0.0014270853438017048,0.004178039202596471,0.3360818072628927,
institutional_trust_as_outcome,consent,0.21098541114727437,0.03979176917026768,0.13299497669241844,0.2889758456021303,1.1439187760996597e-07,***
institutional_trust_as_outcome,manage_trust,0.12393762003800061,0.042060995724816815,0.04149958326346648,0.20637565681253475,0.0032127147153677587,**
institutional_trust_as_outcome,risk,-0.1633559616174261,0.02975166994980518,-0.22166816319896687,-0.10504376003588535,4.004606522237561e-08,***
institutional_trust_as_outcome,safe_management,0.7416399845903988,0.04442233737592912,0.6545738032244902,0.8287061659563074,1.420329037790651e-62,***
institutional_trust_as_outcome,sq1,-0.00547125685901907,0.004150530697108219,-0.013606147542079103,0.0026636338240409625,0.1874345047523075,
institutional_trust_as_outcome,sq3_1,0.0027307228526786296,0.0017521603617458587,-0.0007034483514819262,0.006164894056839185,0.11911734616960853,
management_trust_from_policy_and_risk,consent,0.7970692988730629,0.11326366778535446,0.5750765892568586,1.0190620084892672,1.960143529558058e-12,***
management_trust_from_policy_and_risk,risk,0.21579405169911825,0.10978804589631182,0.0006134358093166092,0.4309746675889199,0.0493504481294571,*
management_trust_from_policy_and_risk,consent:risk,-0.041266816675478546,0.028056521965836474,-0.09625658925997496,0.013722955909017863,0.1413328310764287,
management_trust_from_policy_and_risk,safe_management,0.08354534812021285,0.03366061740532865,0.017571750308386605,0.14951894593203907,0.013065058970110838,*
management_trust_from_policy_and_risk,sq1,-0.006376830682304194,0.003200537879128947,-0.01264976965655314,-0.00010389170805524903,0.04632448091175595,*
management_trust_from_policy_and_risk,sq3_1,0.0013820989129225013,0.0014323621339234018,-0.001425279282386304,0.004189477108231306,0.334590463592773,
