specification,term,coef,se,ci_low,ci_high,p,sig
no_controls,manage_trust,0.7120851258708908,0.028341267273465913,0.6565372627386739,0.7676329890031077,2.6266414303481495e-139,***
no_controls,risk,-0.05860713919712906,0.022495302195465177,-0.10269712132158562,-0.014517157072672503,0.009179231799414479,**
no_controls,safe_management,0.19160753356230906,0.03524265209529961,0.12253320473584675,0.26068186238877133,5.424352835717125e-08,***
demographic_controls,manage_trust,0.7144857284785885,0.028426536904524492,0.6587707399405218,0.7702007170166552,2.0898975051687954e-139,***
demographic_controls,risk,-0.06320719150425605,0.022844346286115563,-0.10798128747540389,-0.018433095533108207,0.0056598420508880715,**
demographic_controls,safe_management,0.1929679782739299,0.0353850987344433,0.12361445916502717,0.2623214973828326,4.94245342920056e-08,***
z_standardized,z_manage_trust,0.6605367516811509,0.026280122331403127,0.6090286584022939,0.7120448449600079,2.0898975051698657e-139,***
z_standardized,z_risk,-0.06467368988026904,0.023374368201855966,-0.110486609717285,-0.018860770043253088,0.005659842050887727,**
z_standardized,z_safe_management,0.12566525064599518,0.023043602059637014,0.08050062053503362,0.17082988075695674,4.9424534292011384e-08,***
interaction_controls,manage_trust,0.401509751144625,0.1221533788681612,0.16209352797315293,0.6409259743160971,0.0010128557903225728,**
interaction_controls,risk,-0.37302488431142933,0.1224930248921928,-0.6131068014574955,-0.1329429671653631,0.0023246803646764986,**
interaction_controls,safe_management,0.1926085101650174,0.0354943533231958,0.12304085599701405,0.26217616433302077,5.748431746867906e-08,***
interaction_controls,manage_trust:risk,0.08108290810580066,0.03075818224008437,0.020797978685315764,0.14136783752628554,0.008385485657106386,**
