info_id,info_type,count,mean,std
8,Financial account,1094,1.93327239488117,1.046987961800819
9,Credit information,1094,2.041133455210238,1.0784205329329386
15,Habits/preferences,1094,2.2842778793418645,1.114074304037826
10,Photograph,1094,2.335466179159049,1.1628135391589849
11,Family information,1094,2.424131627056673,1.130627806172036
14,Communication records,1094,2.4314442413162705,1.1817297470093602
12,Medical information,1094,2.7184643510054847,1.1712033599063358
7,Affiliation,1094,2.753199268738574,1.075963706656294
5,Home address,1094,2.793418647166362,1.1176503807193234
13,Location information,1094,2.9323583180987205,1.1482093603383587
6,Email address,1094,3.162705667276051,1.0612695840941586
3,Phone number,1094,3.264168190127971,1.0287075152462333
4,Date of birth,1094,3.3053016453382082,1.0068517556595367
1,Name,1094,3.6224862888482634,0.885528068966775
2,Gender,1094,3.779707495429616,0.8381947590873592
