effect,estimate,boot_ci_low,boot_ci_high
a: Management trust -> Institutional trust,0.2746836852199152,0.2138928650315245,0.33623602736090874
b: Institutional trust -> Policy acceptance,0.14403481404649637,0.08777368739305852,0.19967916748859804
direct,0.6749217149563304,0.617235847463681,0.7338567442857783
indirect,0.03956401352225683,0.02309635012996949,0.05765072903647843
total,0.7144857284785885,0.6592356324069689,0.7687352038841369
