term,coef,se,ci_low,ci_high,p,sig
manage_c,0.2765016848848588,0.031401946255594476,0.21495500117943123,0.3380483685902864,1.3057244782050047e-18,***
item_sensitivity_proxy_c,-0.9999999999999853,0.020299106632274803,-1.0397855179175821,-0.9602144820823886,0.0,***
manage_c:item_sensitivity_proxy_c,-0.08676795593230056,0.0312738300251049,-0.14806353644013354,-0.025472375424467585,0.005529362088624037,**
risk_c:item_sensitivity_proxy_c,-0.0886682574812616,0.02653152459333654,-0.14066909013913992,-0.036667424823383275,0.0008317816431268972,***
