term,coef,se,ci_low,ci_high,p,sig
manage_trust,0.7144857284785885,0.028426536904524496,0.6587086338417178,0.7702628231154591,2.8459901689904054e-110,***
risk,-0.06320719150425605,0.022844346286115563,-0.1080311976432278,-0.018383185365284306,0.005755841510929764,**
safe_management,0.1929679782739299,0.0353850987344433,0.12353715004905677,0.262398806498803,6.116255295506274e-08,***
sq1,0.00162323165304054,0.0034307754808169696,-0.0051084602626541254,0.008354923568735205,0.636209430425979,
C(sq2)[T.2.0],0.07493444036422388,0.03307645571881139,0.010033513210246106,0.13983536751820164,0.023678611212009204,*
sq3_1,-0.002352857493172315,0.0014594221022891387,-0.0052164607870918665,0.0005107458007472367,0.10721210798791707,
