term,coef,se,ci_low,ci_high,p,sig
manage_trust,0.8820484956592707,0.0394509470655978,0.8047260602547028,0.9593709310638385,1.0069390397641423e-110,***
risk,-0.04861868010950287,0.029372783929976165,-0.10618827873793302,0.008950918518927285,0.09787808005410709,+
safe_management,0.10415151888830493,0.04932551906820373,0.007475277995881921,0.20082775978072792,0.03472816487832795,*
trust,0.18816002968149922,0.03712116323839503,0.11540388667001272,0.2609161726929857,4.0031589275434203e-07,***
