risk_level,risk_c_value,conditional_indirect,boot_ci_low,boot_ci_high
-1SD,-0.7846127217243999,0.02938198223981268,0.015478430552752597,0.0463424417651528
Mean,0.0,0.03904306250601677,0.023118314991424645,0.05700844102177217
+1SD,0.7846127217243999,0.04870414277222084,0.02789707219911022,0.07284512099464847
Index of moderated mediation,,0.01231318330522507,0.002199529410214775,0.025228059736287493
