risk_level,risk_c_value,slope,se,ci_low,ci_high,p,sig
-1SD,-0.7846127217243999,0.6474365596048922,0.03837284073821554,0.5722257917579897,0.7226473274517947,0.0,***
Mean,0.0,0.7110552408191169,0.028760809291227034,0.6546840546083119,0.7674264270299218,0.0,***
+1SD,0.7846127217243999,0.7746739220333415,0.03669771078449575,0.7027464088957298,0.8466014351709532,0.0,***
