information_type_a,information_type_b,slope_difference_a_minus_b,se,p_raw,p_bonferroni
Location information,Medical information,-0.04342077403684597,0.04735089818640283,0.35914263569641325,1.0
Date of birth,Medical information,0.04513630808960372,0.049739449800653146,0.3641662818771615,1.0
Communication records,Medical information,-0.04188090608882753,0.04959034003228798,0.3983690690831573,1.0
Credit information,Family information,-0.03412042174090828,0.04521796468446578,0.4505030193677183,1.0
Medical information,Phone number,-0.035677437183241546,0.04974163308822866,0.47321674154108295,1.0
Email address,Photograph,0.03629194201215015,0.052814820689579864,0.49198536963832973,1.0
Family information,Photograph,-0.025687784469022458,0.03851501267619508,0.5048008082996418,1.0
Gender,Medical information,-0.0370295830380693,0.05794677337955934,0.5228050274535929,1.0
Medical information,Name,0.035400310778680714,0.05778498332882107,0.5401267804814955,1.0
Name,Photograph,0.031219839775395157,0.054203341641346055,0.5646312058993324,1.0
Communication records,Photograph,0.024739244465248344,0.04559339698591197,0.5874012021402469,1.0
Email address,Medical information,-0.030328208541925722,0.05716650030178021,0.5957485748319411,1.0
Gender,Photograph,0.02959056751600657,0.057789049200842414,0.6086198329403278,1.0
Location information,Photograph,0.0231993765172299,0.05027056467166368,0.6444468998243689,1.0
Affiliation,Photograph,0.018167544365779158,0.043497953677801265,0.6761925439166485,1.0
Affiliation,Email address,-0.018124397646370992,0.04342237312913886,0.6763875542075539,1.0
Home address,Phone number,0.01377030073957937,0.03581889750533554,0.700650624971999,1.0
Affiliation,Name,-0.013052295409616001,0.04997098595744961,0.7939402243725623,1.0
Date of birth,Phone number,0.009458870906362174,0.037231227723436726,0.7994511723082873,1.0
Affiliation,Gender,-0.011423023150227411,0.049552652196749855,0.817685438623496,1.0
Email address,Location information,0.013092565494920251,0.05774326884980875,0.82062785116464,1.0
Communication records,Email address,-0.011552697546901806,0.05745775974537072,0.8406483875050106,1.0
Email address,Gender,0.006701374496143581,0.04838142056306116,0.8898363226322221,1.0
Location information,Name,-0.008020463258165262,0.05816530176986403,0.8903266771244384,1.0
Affiliation,Communication records,-0.006571700099469185,0.05165659286045096,0.898767067550827,1.0
Email address,Name,0.005072102236754991,0.04685686270941357,0.9137999763288154,1.0
Date of birth,Home address,-0.004311429833217195,0.040072493649538785,0.9143203311231978,1.0
Gender,Location information,0.006391190998776671,0.05961992764291144,0.9146311835859915,1.0
Communication records,Name,-0.006480595310146816,0.0631586710354087,0.9182739626754151,1.0
Affiliation,Location information,-0.00503183215145074,0.052767256077163496,0.9240296902285958,1.0
Communication records,Gender,-0.004851323050758226,0.06502761965304238,0.9405297606926375,1.0
Gender,Name,-0.0016292722593885898,0.03068967889831844,0.9576613100555059,1.0
Communication records,Location information,0.0015398679480184453,0.04304088112568315,0.971460277447836,1.0
