quantity,estimate,boot_ci_low,boot_ci_high
Risk -1SD,0.02938198223981268,0.015368686856298256,0.04665939139524345
Risk mean,0.03904306250601677,0.022786657528003147,0.05663380663458438
Risk +1SD,0.04870414277222084,0.027734204924438306,0.07204327407176836
Index of moderated mediation,0.01231318330522507,0.002092484868472355,0.024693063061765243
